Daniel Jones,4586987,4586717,4586793,4586401,4586393,4586268,4585977,4585962,4585783,4585654,4585553,4585542,4585386,4585203,4585133,4585021,4584824,4584794,4584712,4584676,4584591,4584414,4584221,4584105,4584066,4583836,4583812,4583810,4583543,4583490,4583321,4583277,4582978,4582766,4582729,4582515,4582420,4582363,4582321,4582210,4582171,4582163
Gen Alpha,4586866,4586765,4586726,4586309,4586404,4585831,4585546,4585495,4585106,4585400,4584725,4584688,4584638,4584560,4584241,4583724,4583670,4583180,4582991,4582697,4582260,4582335,4582167,,,,,,,,,,,,,,,,,,,
Trapping Value,4586923,4586834,4586424,4586195,4585705,4585069,4584967,4584827,4584663,4584408,4584110,4583835,4583835,4583478,4582903,4582720,4582327,4581991,4582175,,,,,,,,,,,,,,,,,,,,,,,
Taylor Dart,4586889,4586839,4586770,4586428,4585870,4585550,4585347,4585244,4584750,4584639,4584453,4584069,4583848,4582878,4582406,4582336,4582303,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Simpson,4587255,4587278,4586633,4586516,4586486,4585613,4585588,4585530,4585397,4585396,4585183,4585175,4585163,4584976,4584976,4584941,4584636,4584617,4584523,4584477,4584345,4584315,4584171,4584068,4583996,4583964,4583706,4583629,4583548,4583535,4583484,4583346,4583221,4582948,4582771,4582662,4582622,4582511,4582482,4582180,4582131,
Nick Ackerman,4587111,4586883,4584819,4584808,4584361,4583882,4582939,4582288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoya Capital,4585868,4586866,4586765,4586726,4584786,4586309,4586404,4586391,4585941,4585510,4585831,4584484,4585546,4585495,4585545,4585106,4585073,4584800,4583765,4584725,4584688,4584638,4584560,4584511,4582498,4584241,4583724,4583670,4583437,4583180,4582991,4581402,4582697,4582532,4582260,4582335,4580526,,,,,
